id,user_id,order_date,status
1,1,2018-01-01,returned
2,3,2018-01-02,completed
3,94,2018-01-04,completed
4,50,2018-01-05,completed
5,64,2018-01-05,completed
6,54,2018-01-07,completed
7,88,2018-01-09,completed
8,2,2018-01-11,returned
9,53,2018-01-12,completed
10,7,2018-01-14,completed
11,99,2018-01-14,completed
12,59,2018-01-15,completed
13,84,2018-01-17,completed
14,40,2018-01-17,returned
15,25,2018-01-17,completed
16,39,2018-01-18,completed
17,71,2018-01-18,completed
18,64,2018-01-20,returned
19,54,2018-01-22,completed
20,20,2018-01-23,completed
21,71,2018-01-23,completed
22,86,2018-01-24,completed
23,22,2018-01-26,return_pending
24,3,2018-01-27,completed
25,51,2018-01-28,completed
26,32,2018-01-28,completed
27,94,2018-01-29,completed
28,8,2018-01-29,completed
29,57,2018-01-31,completed
30,69,2018-02-02,completed
31,16,2018-02-02,completed
32,28,2018-02-04,completed
33,42,2018-02-04,completed
34,38,2018-02-06,completed
35,80,2018-02-08,completed
36,85,2018-02-10,completed
37,1,2018-02-10,completed
38,51,2018-02-10,completed
39,26,2018-02-11,completed
40,33,2018-02-13,completed
41,99,2018-02-14,completed
42,92,2018-02-16,completed
43,31,2018-02-17,completed
44,66,2018-02-17,completed
45,22,2018-02-17,completed
46,6,2018-02-19,completed
47,50,2018-02-20,completed
48,27,2018-02-21,completed
49,35,2018-02-21,completed
50,51,2018-02-23,completed
51,71,2018-02-24,completed
52,54,2018-02-25,return_pending
53,34,2018-02-26,completed
54,54,2018-02-26,completed
55,18,2018-02-27,completed
56,79,2018-02-28,completed
57,93,2018-03-01,completed
58,22,2018-03-01,completed
59,30,2018-03-02,completed
60,12,2018-03-03,completed
61,63,2018-03-03,completed
62,57,2018-03-05,completed
63,70,2018-03-06,completed
64,13,2018-03-07,completed
65,26,2018-03-08,completed
66,36,2018-03-10,completed
67,79,2018-03-11,completed
68,53,2018-03-11,completed
69,3,2018-03-11,completed
70,8,2018-03-12,completed
71,42,2018-03-12,shipped
72,30,2018-03-14,shipped
73,19,2018-03-16,completed
74,9,2018-03-17,shipped
75,69,2018-03-18,completed
76,25,2018-03-20,completed
77,35,2018-03-21,shipped
78,90,2018-03-23,shipped
79,52,2018-03-23,shipped
80,11,2018-03-23,shipped
81,76,2018-03-23,shipped
82,46,2018-03-24,shipped
83,54,2018-03-24,shipped
84,70,2018-03-26,placed
85,47,2018-03-26,shipped
86,68,2018-03-26,placed
87,46,2018-03-27,placed
88,91,2018-03-27,shipped
89,21,2018-03-28,placed
90,66,2018-03-30,shipped
91,47,2018-03-31,placed
92,84,2018-04-02,placed
93,66,2018-04-03,placed
94,63,2018-04-03,placed
95,27,2018-04-04,placed
96,90,2018-04-06,placed
97,89,2018-04-07,placed
98,41,2018-04-07,placed
99,85,2018-04-09,placed
100,317,2018-06-23,completed
101,7,2018-04-03,completed
102,580,2018-12-03,completed
103,72,2018-03-14,completed
104,94,2018-09-29,completed
105,386,2018-08-03,returned
106,350,2018-03-22,completed
107,320,2018-06-16,placed
108,611,2018-02-13,completed
109,160,2018-03-22,placed
110,51,2018-12-12,completed
111,279,2018-08-15,completed
112,498,2018-11-07,returned
113,425,2018-05-20,completed
114,774,2018-09-20,completed
115,354,2018-08-09,completed
116,291,2018-12-14,placed
117,499,2018-09-27,completed
118,47,2018-04-23,completed
119,614,2018-01-29,completed
120,210,2018-06-04,completed
121,786,2018-03-12,completed
122,297,2018-06-17,completed
123,8,2018-09-12,completed
124,180,2018-03-08,completed
125,546,2018-12-27,completed
126,513,2018-10-14,completed
127,74,2018-07-23,completed
128,447,2018-01-10,returned
129,944,2018-02-09,completed
130,590,2018-08-08,placed
131,415,2018-12-30,completed
132,297,2018-02-28,completed
133,22,2018-06-16,completed
134,821,2018-11-13,returned
135,852,2018-12-20,completed
136,91,2018-08-12,completed
137,250,2018-08-12,placed
138,411,2018-09-26,completed
139,406,2018-06-08,completed
140,227,2018-06-20,completed
141,79,2018-09-19,completed
142,544,2018-09-19,completed
143,928,2018-06-28,completed
144,745,2018-11-27,completed
145,242,2018-02-22,completed
146,263,2018-04-12,completed
147,617,2018-03-20,completed
148,182,2018-11-18,returned
149,476,2018-10-16,placed
150,460,2018-12-15,placed
151,659,2018-11-22,placed
152,331,2018-11-18,completed
153,155,2018-08-14,completed
154,481,2018-08-15,completed
155,816,2018-05-21,placed
156,58,2018-06-30,return_pending
157,76,2018-06-08,returned
158,463,2018-01-20,completed
159,378,2018-05-27,completed
160,661,2018-02-16,placed
161,609,2018-09-17,completed
162,474,2018-10-25,return_pending
163,978,2018-01-22,returned
164,931,2018-10-20,completed
165,330,2018-11-06,returned
166,514,2018-03-19,completed
167,462,2018-02-22,completed
168,732,2018-02-13,return_pending
169,662,2018-03-30,completed
170,254,2018-12-29,returned
171,450,2018-09-26,return_pending
172,625,2018-03-23,completed
173,382,2018-05-25,completed
174,419,2018-06-23,placed
175,54,2018-11-20,completed
176,68,2018-06-18,completed
177,572,2018-12-14,completed
178,291,2018-05-10,placed
179,895,2018-03-18,completed
180,84,2018-10-26,completed
181,939,2018-06-29,completed
182,991,2018-12-02,completed
183,133,2018-11-01,completed
184,318,2018-10-14,completed
185,659,2018-06-18,completed
186,687,2018-12-26,return_pending
187,96,2018-11-27,completed
188,521,2018-07-05,completed
189,372,2018-06-08,completed
190,974,2018-04-20,completed
191,971,2018-09-06,completed
192,232,2018-03-12,completed
193,80,2018-06-01,completed
194,520,2018-10-04,return_pending
195,39,2018-12-05,completed
196,898,2018-11-13,completed
197,612,2018-07-12,completed
198,167,2018-04-03,placed
199,829,2018-03-26,returned
200,45,2018-07-30,completed
201,693,2018-05-02,returned
202,626,2018-05-26,returned
203,240,2018-10-01,completed
204,317,2018-08-29,completed
205,377,2018-12-14,placed
206,452,2018-08-25,completed
207,797,2018-07-15,return_pending
208,541,2018-08-03,completed
209,837,2018-04-13,placed
210,142,2018-05-09,completed
211,657,2018-09-04,completed
212,568,2018-02-22,return_pending
213,872,2018-03-05,completed
214,86,2018-03-24,completed
215,461,2018-09-20,completed
216,851,2018-08-12,completed
217,970,2018-04-24,returned
218,906,2018-06-28,completed
219,425,2018-01-28,completed
220,515,2018-07-11,completed
221,396,2018-02-11,completed
222,230,2018-01-15,completed
223,954,2018-02-20,completed
224,811,2018-03-16,completed
225,40,2018-05-27,returned
226,713,2018-03-13,returned
227,460,2018-11-12,completed
228,928,2018-02-10,completed
229,263,2018-04-21,completed
230,562,2018-11-08,return_pending
231,434,2018-02-26,completed
232,244,2018-06-04,completed
233,49,2018-05-03,completed
234,655,2018-11-15,returned
235,65,2018-02-26,returned
236,612,2018-10-02,completed
237,648,2018-09-21,placed
238,248,2018-03-15,completed
239,440,2018-01-01,placed
240,362,2018-05-04,placed
241,427,2018-04-06,completed
242,537,2018-07-04,completed
243,977,2018-09-27,return_pending
244,520,2018-09-17,return_pending
245,21,2018-07-19,returned
246,45,2018-11-22,completed
247,383,2018-05-10,completed
248,366,2018-02-04,completed
249,247,2018-12-03,completed
250,791,2018-10-25,completed
251,137,2018-01-23,completed
252,560,2018-06-23,completed
253,851,2018-12-17,returned
254,713,2018-09-03,completed
255,831,2018-03-11,completed
256,734,2018-08-23,completed
257,301,2018-04-14,completed
258,811,2018-04-13,completed
259,324,2018-06-08,return_pending
260,408,2018-10-06,returned
261,260,2018-01-19,completed
262,293,2018-07-02,completed
263,887,2018-12-02,completed
264,280,2018-03-05,completed
265,448,2018-07-24,returned
266,917,2018-07-17,completed
267,998,2018-04-06,returned
268,709,2018-09-12,completed
269,947,2018-09-23,completed
270,821,2018-02-12,completed
271,81,2018-08-09,placed
272,843,2018-04-03,return_pending
273,301,2018-06-14,completed
274,82,2018-06-17,completed
275,314,2018-08-17,placed
276,735,2018-08-07,completed
277,707,2018-08-16,completed
278,458,2018-01-22,completed
279,630,2018-08-11,completed
